table | _time                | bottom_degrees
=============================================
    0 | 2020-02-22T16:05:00Z |             51
    0 | 2020-02-22T17:05:00Z |             50
    0 | 2020-02-22T17:10:00Z |             40
    0 | 2020-02-22T17:40:00Z |             40
    0 | 2020-02-22T15:01:00Z |             50
    0 | 2020-02-22T15:31:00Z |             49
    0 | 2020-02-22T16:01:00Z |             49
    0 | 2020-02-22T16:31:00Z |             49
    0 | 2020-02-22T17:01:00Z |             48
    0 | 2020-02-22T17:31:00Z |             48
    0 | 2020-02-22T17:46:00Z |             48
