#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#group,false,false,true,true,false,false,true,true
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000000Z,0,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000001Z,1,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000002Z,2,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000003Z,3,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000004Z,4,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000005Z,5,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000006Z,6,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000007Z,7,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000008Z,8,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000009Z,9,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000010Z,10,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000011Z,11,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000012Z,12,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000013Z,13,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000014Z,14,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000015Z,15,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000016Z,16,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000017Z,17,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000018Z,18,n,ctr
,,96,1970-01-01T00:00:00.000000000Z,1970-01-01T00:00:00.000000019Z,1970-01-01T00:00:00.000000019Z,19,n,ctr
