#datatype,string,long,string,double
#group,false,false,true,false
#default,_result,,,
,result,table,_tag,_value
,,0,0,10.336955494364028
,,1,1,11.366030619714088
,,2,2,10.266234220144533
,,3,3,10.196157912166761
,,4,4,9.40961451778254
,,5,5,8.229356175930853
,,6,6,8.784756357428504
,,7,7,11.462182729609525
,,8,8,10.136524106150581
,,9,9,8.519265279222578
,,10,a,10.043835479462766
,,11,b,12.516980379670988
,,12,c,7.649998243963596
,,13,d,10.71921868854766
,,14,e,10.141707891425682

