#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,Animal_name,_field,_measurement,airborne
,,0,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,0,calf,fins,zoo-data,0
,,1,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,4,calf,legs,zoo-data,0
,,2,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,domestic,zoo-data,0
,,3,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,predator,zoo-data,0
,,4,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,breathes,zoo-data,0
,,5,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,hair,zoo-data,0
,,6,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,1,catfish,backbone,zoo-data,0
,,7,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,venomous,zoo-data,0
,,8,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,aquatic,zoo-data,0
,,9,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,fins,zoo-data,0
,,10,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,tail,zoo-data,0
,,11,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,0,cheetah,venomous,zoo-data,0
,,12,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,type,zoo-data,0
,,13,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,1,chicken,eggs,zoo-data,1
,,14,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,1,chicken,tail,zoo-data,1
,,15,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,1,chicken,domestic,zoo-data,1
,,16,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,catsize,zoo-data,1
,,17,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,1,chub,toothed,zoo-data,0
,,18,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,1,chub,fins,zoo-data,0
,,19,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,1,clam,predator,zoo-data,0
,,20,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,venomous,zoo-data,0
,,21,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,hair,zoo-data,0
,,22,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,1,crow,predator,zoo-data,1
,,23,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,0,deer,predator,zoo-data,0
,,24,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,1,dogfish,eggs,zoo-data,0
,,25,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,0,dogfish,breathes,zoo-data,0
,,26,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,0,dogfish,legs,zoo-data,0
,,27,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,0,dove,hair,zoo-data,1
,,28,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,1,dove,domestic,zoo-data,1
,,29,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,0,elephant,eggs,zoo-data,0
,,30,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,1,elephant,toothed,zoo-data,0
,,31,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,0,elephant,venomous,zoo-data,0
,,32,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,1,flamingo,feathers,zoo-data,1
,,33,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,0,flamingo,milk,zoo-data,1
,,34,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T12:45:34.177215189Z,1,flamingo,catsize,zoo-data,1
,,35,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,1,flea,eggs,zoo-data,0
,,36,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T14:21:27.837094111Z,0,flea,aquatic,zoo-data,0
,,37,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,1,frog,backbone,zoo-data,0
,,37,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,1,frog,backbone,zoo-data,0
,,38,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,4,frog,legs,zoo-data,0
,,38,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,4,frog,legs,zoo-data,0
,,39,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T15:57:21.496973032Z,0,frog,domestic,zoo-data,0
,,39,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T17:33:15.156851953Z,0,frog,domestic,zoo-data,0
,,40,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T20:45:02.476609796Z,0,giraffe,predator,zoo-data,0
,,41,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T22:20:56.136488717Z,0,girl,venomous,zoo-data,0
,,42,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T22:20:56.136488717Z,1,girl,type,zoo-data,0
,,43,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T23:56:49.796367638Z,0,gnat,milk,zoo-data,1
,,44,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T23:56:49.796367638Z,0,gnat,toothed,zoo-data,1
,,45,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T03:08:37.116125481Z,2,gorilla,legs,zoo-data,0
,,46,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T03:08:37.116125481Z,0,gorilla,domestic,zoo-data,0
,,47,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T06:20:24.435883324Z,0,haddock,feathers,zoo-data,0
,,48,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T07:56:18.095762245Z,1,hamster,breathes,zoo-data,0
,,49,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T07:56:18.095762245Z,0,hamster,fins,zoo-data,0
,,50,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T09:32:11.755641166Z,1,hare,milk,zoo-data,0
,,51,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T09:32:11.755641166Z,1,hare,backbone,zoo-data,0
,,52,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T09:32:11.755641166Z,0,hare,domestic,zoo-data,0
,,53,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T11:08:05.415520088Z,1,hawk,feathers,zoo-data,1
,,54,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T11:08:05.415520088Z,0,hawk,toothed,zoo-data,1
,,55,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T11:08:05.415520088Z,2,hawk,legs,zoo-data,1
,,56,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T12:43:59.075399009Z,1,herring,eggs,zoo-data,0
,,57,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T14:19:52.73527793Z,0,honeybee,milk,zoo-data,1
,,58,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T14:19:52.73527793Z,0,honeybee,toothed,zoo-data,1
,,59,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T14:19:52.73527793Z,0,honeybee,fins,zoo-data,1
,,60,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T15:55:46.395156851Z,0,housefly,backbone,zoo-data,1
,,61,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T15:55:46.395156851Z,6,housefly,legs,zoo-data,1
,,62,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T15:55:46.395156851Z,6,housefly,type,zoo-data,1
,,63,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,toothed,zoo-data,0
,,64,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T17:31:40.055035773Z,1,kiwi,eggs,zoo-data,0
,,65,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,breathes,zoo-data,0
,,66,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T17:31:40.055035773Z,1,kiwi,predator,zoo-data,0
